População residente - 1º de julho - estimativas
Sigla,Código,Estado,2017,2018,2019,2020,2021,
AC,12,Acre,829619,869265,881935,894470,906876,
AL,27,Alagoas,3375823,3322820,3337357,3351543,3365351,
AM,13,Amazonas,4063614,4080611,4144597,4207714,4269995,
AP,16,Amapá,797722,829494,845731,861773,877613,
BA,29,Bahia,15344447,14812617,14873064,14930634,14985284,
CE,23,Ceará,9020460,9075649,9132078,9187103,9240580,
DF,53,Distrito Federal,3039444,2974703,3015268,3055149,3094325,
ES,32,Espírito Santo,4016356,3972388,4018650,4064052,4108508,
GO,52,Goiás,6778772,6921161,7018354,7113540,7206589,
MA,21,Maranhão,7000229,7035055,7075181,7114598,7153262,
MG,31,Minas Gerais,21119536,21040662,21168791,21292666,21411923,
MS,50,Mato Grosso do Sul,2713147,2739524,2770380,2800681,2830371,
MT,51,Mato Grosso,3344544,3441998,3484466,3526220,3567234,
PA,15,Pará,8366628,8497515,8586781,8674561,8760842,
PB,25,Paraíba,4025558,3996496,4018127,4039277,4059905,
PE,26,Pernambuco,9473266,9496294,9557071,9616621,9674793,
PI,22,Piauí,3210832,3255995,3264657,3272878,3280658,
PR,41,Paraná,11320892,11348937,11433957,11516840,11597484,
RJ,33,Rio de Janeiro,16718956,17159960,17264943,17366189,17463349,
RN,24,Rio Grande do Norte,3507003,3479010,3506853,3534165,3560903,
RO,11,Rondônia,1805788,1757589,1777225,1796460,1815278,
RR,14,Roraima,522636,576568,605761,631181,652713,
RS,43,Rio Grande do Sul,11322895,11326637,11374236,11419937,11463562,
SC,42,Santa Catarina,7001161,7052902,7141937,7229397,7315119,
SE,28,Sergipe,2288116,2278308,2298696,2318822,2338474,
SP,35,São Paulo,45094866,45538936,45919049,46289333,46649132,
TO,17,Tocantins,1550194,1555229,1572866,1590248,1607363,
