Percentual de 25 anos ou mais de idade com ensino médio completo  (Atlas 2013 - PNADC)
Sigla,Código,Estado,2015,2016,2017,2018,2019,2020,2021,
AC,12,Acre,39.75,42.02,41.28,45.3,46.71,49.69,49.5,
AL,27,Alagoas,31.42,34.04,33.67,36.03,36.18,40.05,42.42,
AM,13,Amazonas,49.56,50.86,53.08,52.83,55.16,57.2,57.71,
AP,16,Amapá,53.6,56.75,51.17,55.3,54.81,56.2,56.42,
BA,29,Bahia,41.04,38.97,40.72,41.98,44.17,46.86,45.92,
CE,23,Ceará,34.73,37.11,39.84,41.24,42.5,47.13,46.08,
DF,53,Distrito Federal,64.96,66.02,66.54,65.67,69.48,70.35,74.5,
ES,32,Espírito Santo,45.5,47.61,48.6,49.19,50.98,53.58,52.77,
GO,52,Goiás,43.82,45.65,46.2,48.86,49.18,51.17,51.75,
MA,21,Maranhão,32.82,35.04,35.86,37.51,38.85,42.39,41.66,
MG,31,Minas Gerais,41.61,42.45,44.66,45.26,46.09,48.56,49.7,
MS,50,Mato Grosso do Sul,39.36,44.52,45.67,46.09,50.02,51.84,51.47,
MT,51,Mato Grosso,42.93,43.67,45.69,45.7,48.06,51.11,51.48,
PA,15,Pará,36.57,38.12,40.07,42.95,43.67,47.46,47.81,
PB,25,Paraíba,36.01,36.45,38.52,37.71,38.78,41.13,39.79,
PE,26,Pernambuco,41.06,41.24,41.68,45.82,45.56,48.05,47.43,
PI,22,Piauí,33,32.74,34.06,35.87,36.69,39.23,40.06,
PR,41,Paraná,45.92,48.22,47.42,48.93,50.39,52.97,53.56,
RJ,33,Rio de Janeiro,53.85,55.69,56.19,59.12,60.31,62.34,63.03,
RN,24,Rio Grande do Norte,39.82,41.22,40.42,44.25,44.39,48.2,48.86,
RO,11,Rondônia,36.23,39.03,39.52,39.77,44.11,46.39,45.39,
RR,14,Roraima,53.74,58.06,55.59,58.57,59.79,61.17,61.5,
RS,43,Rio Grande do Sul,46.02,46.14,45.75,47.71,49.59,51.22,54.04,
SC,42,Santa Catarina,46.09,47.09,48.28,49.1,51.09,53.6,54.17,
SE,28,Sergipe,38.23,37.96,38.78,41.29,42.63,46.01,44.98,
SP,35,São Paulo,54.9,58.48,57.59,59.06,59.33,62.14,62.82,
TO,17,Tocantins,42.22,44.57,45.59,44.99,46.61,49.78,51.08,
