Sigla,Código,Estado,2017,2018,2019,2020,2021,
AC,12,Acre,12.34,15.04,16.19,16.98,18.17,
AL,27,Alagoas,9.17,11.33,10.97,12.1,12.73,
AM,13,Amazonas,14.16,14.67,16.12,16.23,16.44,
AP,16,Amapá,15.4,17.23,15.55,16.45,18.76,
BA,29,Bahia,9.53,10.16,10.77,12.11,10.49,
CE,23,Ceará,10.02,11.22,11.58,14.78,11.77,
DF,53,Distrito Federal,32.51,30.16,33.95,34.89,38.12,
ES,32,Espírito Santo,15.34,15.67,17.8,19.08,16.89,
GO,52,Goiás,14.36,15.62,15.83,16.99,17.24,
MA,21,Maranhão,7.72,8.52,8.68,9.31,9.43,
MG,31,Minas Gerais,14.28,14.79,14.52,15.46,16.95,
MS,50,Mato Grosso do Sul,15.6,16.97,18.58,19.33,19.82,
MT,51,Mato Grosso,14.38,16.44,16.03,18.11,18.7,
PA,15,Pará,8.71,10.77,10.75,11.74,12.31,
PB,25,Paraíba,12.64,11.48,12.74,13.29,12.93,
PE,26,Pernambuco,11.39,13.53,13.17,14.31,12.73,
PI,22,Piauí,10.62,10.69,11.38,12.1,12.78,
PR,41,Paraná,17.11,18.17,18.55,19.88,20.7,
RJ,33,Rio de Janeiro,18.35,20.67,21.68,22.23,23.9,
RN,24,Rio Grande do Norte,11.78,14.16,13.98,15.46,16.49,
RO,11,Rondônia,10.99,12.44,12.62,13,13.22,
RR,14,Roraima,17.95,19.18,17.03,17.82,20.84,
RS,43,Rio Grande do Sul,15.67,15.6,16.65,17.91,19.49,
SC,42,Santa Catarina,17.12,17.69,18.25,19.25,19.86,
SE,28,Sergipe,11.16,12.7,12.79,13.91,13.13,
SP,35,São Paulo,20.55,22.05,21.64,23.2,24.49,
TO,17,Tocantins,14.3,14.4,14.94,16.75,18.55,
