"Sigla","Codigo","Estado","2,015.00","2,016.00","2,017.00","2,018.00","2,019.00","2,020.00","2,021.00"
"AC","12","Acre","13.38","12.48","12.08","11.17","11.16","8.89","8.55"
"AL","27","Alagoas","19.33","17.68","17.49","17.01","17.05","15.49","13.00"
"AM","13","Amazonas","7.63","6.57","6.37","5.41","5.21","4.61","4.36"
"AP","16","Amapá","7.07","4.87","5.46","5.57","5.05","4.94","3.90"
"BA","29","Bahia","12.76","12.93","12.12","12.32","11.44","10.37","10.46"
"CE","23","Ceará","15.30","14.19","13.19","13.06","13.01","10.95","11.32"
"DF","53","Distrito Federal","2.77","2.57","2.76","2.80","2.68","2.46","1.84"
"ES","32","Espírito Santo","6.21","5.59","5.60","4.78","5.31","4.32","5.00"
"GO","52","Goiás","6.22","5.61","5.64","4.98","5.19","4.05","4.56"
"MA","21","Maranhão","17.15","15.72","15.73","14.67","14.34","12.18","11.49"
"MG","31","Minas Gerais","6.09","5.90","5.59","5.77","5.33","4.56","4.41"
"MS","50","Mato Grosso do Sul","6.85","4.97","4.73","4.82","4.41","3.95","3.85"
"MT","51","Mato Grosso","6.41","6.17","6.11","6.37","5.34","4.24","4.30"
"PA","15","Pará","9.20","8.53","8.58","8.41","8.13","6.24","6.07"
"PB","25","Paraíba","17.02","15.20","16.23","15.93","15.40","13.05","12.95"
"PE","26","Pernambuco","13.23","12.51","12.15","11.95","12.54","10.11","9.80"
"PI","22","Piauí","17.99","17.03","16.30","15.10","15.84","14.35","13.27"
"PR","41","Paraná","4.46","4.03","4.53","4.50","3.95","3.67","3.10"
"RJ","33","Rio de Janeiro","2.82","2.62","2.51","2.06","2.23","1.89","1.89"
"RN","24","Rio Grande do Norte","13.72","14.10","12.98","13.23","12.29","10.59","9.80"
"RO","11","Rondônia","6.81","6.27","6.62","6.20","5.85","4.46","5.23"
"RR","14","Roraima","6.44","6.81","5.89","6.00","5.00","3.87","5.23"
"RS","43","Rio Grande do Sul","2.97","2.88","3.12","2.57","2.71","2.32","2.07"
"SC","42","Santa Catarina","2.84","2.69","2.54","2.50","2.14","1.60","1.77"
"SE","28","Sergipe","14.14","14.61","13.65","12.63","12.48","11.31","11.48"
"SP","35","São Paulo","3.12","2.66","2.76","2.58","2.48","2.18","1.94"
"TO","17","Tocantins","10.31","9.74","9.70","9.30","8.90","8.33","7.75"
